Date,US_REITs_VNQ,US_SmallCap_IWM,Gold_GLD,US_LargeCap_SPY,Europe_VGK,DevExUS_EFA,US_Bonds_AGG,Emerging_EEM
2010-08-31,-0.01275746,-0.07443881,0.05706125,-0.04498037,-0.04576153,-0.03795063,0.01286750,-0.03236713
2010-09-30,0.04470705,0.12445332,0.04775558,0.08955456,0.11258302,0.09971940,0.00007349,0.11757394
2010-10-31,0.04742747,0.04148156,0.03682270,0.03820259,0.04885046,0.03805569,0.00152289,0.03015373
2010-11-30,-0.01851518,0.03485067,0.02111298,0.00000000,-0.07808260,-0.04823703,-0.00834962,-0.02905497
2010-12-31,0.04550677,0.08033337,0.02436865,0.06685196,0.09136709,0.08308016,-0.00675439,0.07277847
2011-01-31,0.03250787,-0.00370671,-0.06379762,0.02329970,0.03687107,0.02095556,-0.00085108,-0.03841319
2011-02-28,0.04705315,0.05542002,0.05998313,0.03473758,0.03123780,0.03549792,0.00290438,-0.00043647
2011-03-31,-0.01610689,0.02523082,0.01598138,0.00012031,-0.01028801,-0.02388305,-0.00222883,0.06289562
2011-04-30,0.05746545,0.02637543,0.08944655,0.02896124,0.08315707,0.05625821,0.01567349,0.02732713
2011-05-31,0.01374758,-0.01794203,-0.01791689,-0.01121452,-0.02843447,-0.02206125,0.01239843,-0.02940021
2011-06-30,-0.03299296,-0.02404555,-0.02432504,-0.01686959,-0.02085252,-0.01210725,-0.00445151,-0.00935488
2011-07-31,0.01564090,-0.03406135,0.08417804,-0.02000458,-0.04595531,-0.02377798,0.01686606,-0.01029389
2011-08-31,-0.05619268,-0.08891415,0.12274944,-0.05497567,-0.09281400,-0.08754879,0.01520486,-0.09254919
2011-09-30,-0.10841933,-0.11150300,-0.11062347,-0.06942076,-0.12238300,-0.10808323,0.00770568,-0.17894759
2011-10-31,0.14291301,0.15101080,0.05871187,0.10914707,0.12420135,0.09627494,0.00126533,0.16267842
2011-11-30,-0.03801173,-0.00378344,0.01667269,-0.00406369,-0.02865937,-0.02176388,-0.00330851,-0.01960336
2011-12-31,0.04850360,0.00515074,-0.10662434,0.01044832,-0.02338524,-0.02174970,0.01356794,-0.04264798
2012-01-31,0.06379310,0.07145724,0.11395481,0.04637472,0.05454980,0.05269511,0.00725531,0.10991057
2012-02-29,-0.01150734,0.02569019,-0.02964978,0.04340533,0.05424620,0.04833162,-0.00013486,0.05271882
2012-03-31,0.05200171,0.02484706,-0.01320834,0.03216352,0.00065096,0.00420799,-0.00572917,-0.03113038
2012-04-30,0.02859410,-0.01618161,-0.00148032,-0.00667544,-0.02495117,-0.02076888,0.00905918,-0.01699644
2012-05-31,-0.04505887,-0.06579127,-0.06338034,-0.06005572,-0.11971523,-0.11144191,0.01078264,-0.10705805
2012-06-30,0.05517053,0.05052147,0.02354576,0.04058114,0.08265946,0.07043317,-0.00019770,0.05035382
2012-07-31,0.02002109,-0.01520908,0.00837685,0.01182927,0.00326821,0.00080076,0.01362089,-0.00025586
2012-08-31,-0.00014929,0.03535424,0.04939610,0.02505318,0.04677710,0.03199992,0.00000000,0.00409036
2012-09-30,-0.01863209,0.03260951,0.04670563,0.02535047,0.02933736,0.02713191,0.00266631,0.05218904
